( c_books_test_0001 "See, he said, the arrow struck against this." )
( c_books_test_0002 "I will settle my account with you presently." )
( c_books_test_0003 "But be wise." )
( c_books_test_0004 "Wendy was married in white with a pink sash." )
( c_books_test_0005 "Here, youngster, stop squealing." )
( c_books_test_0006 "They are no longer there." )
( c_books_test_0007 "The branches are not what they were when I was young." )
( c_books_test_0008 "For the rest, Akela goes free to live as he pleases." )
( c_books_test_0009 "I have just thought of a splendid joke." )
( c_books_test_0010 "Certainly Wendy had been dreaming." )
( c_books_test_0011 "They go on with their recollections." )
( c_books_test_0012 "Free People, he cried, does Shere Khan lead the Pack?" )
( c_books_test_0013 "Above all, he is always hungry, said Baloo hopefully." )
( c_books_test_0014 "Then everything was right." )
( c_books_test_0015 "They may drop him if we follow too close. Arrula!" )
( c_books_test_0016 "It is to listen to the stories." )
( c_books_test_0017 "Who are you?" )
( c_books_test_0018 "Darling would never forgive us." )
( c_books_test_0019 "Who can trust the Bandar-log?" )
( c_books_test_0020 "Baloo has spoken in his behalf." )
( c_books_test_0021 "It pleased him to see Mother and Father Wolf look uncomfortable." )
( c_books_test_0022 "And Mowgli looked at him steadily between the eyes." )
( c_books_test_0023 "Don’t look behind you, said Kerick." )
( c_books_test_0024 "Shall we swim or fly, Peter? He had to tell her." )
( c_books_test_0025 "We--we may catch them yet! Baloo panted." )
( c_books_test_0026 "Hullo, replied Peter amicably, though he had quite forgotten them." )
( c_books_test_0027 "Their way is not our way." )
( c_books_test_0028 "Every one of the little angels sound asleep in bed." )
( c_books_test_0029 "That is not true." )
( c_books_test_0030 "No one spoke except Slightly." )
( c_books_test_0031 "He thought them very over-rated persons." )
( c_books_test_0032 "That was the last time the girl Wendy ever saw him." )
( c_books_test_0033 "Little Toomai stared again and again." )
( c_books_test_0034 "Hah! said Kaa with a chuckle, he has friends everywhere, this manling." )
( c_books_test_0035 "What is the use of running away?" )
( c_books_test_0036 "Darling hurried with Nana out of ." )
( c_books_test_0037 "What--what will happen? said Little Toomai." )
( c_books_test_0038 "He has driven game for us." )
( c_books_test_0039 "Michael had tried on his spectacles." )
( c_books_test_0040 "The opportunity came a week later, on that never-to-be-forgotten Friday." )
( c_books_test_0041 "Waters of the Waingunga, whither went Shere Khan?" )
( c_books_test_0042 "Good hunting for us all, he answered." )
( c_books_test_0043 "All things made he--Shiva the Preserver." )
( c_books_test_0044 "It was Smee who tied her to the mast." )
( c_books_test_0045 "Farewell! Now, once more, Akela, he cried." )
( c_books_test_0046 "Drive them to and fro as I order." )
( c_books_test_0047 "Not for nothing are ye called the Free People." )
( c_books_test_0048 "I met my mates in the morning (I’ll never meet them more!" )
( c_books_test_0049 "You must, said the troop horse." )
( c_books_test_0050 "Then there was a howl--an untigerish howl--from Shere Khan." )
( c_books_test_0051 "Twice Smee beat upon the instrument, and then stopped to listen gleefully." )
( c_books_test_0052 "Not to-night? asked the lost boys bewildered." )
( c_books_test_0053 "His vitals were tortured by this problem." )
( c_books_test_0054 "Fetch the cat, Jukes, said Hook; it’s in the cabin. The cabin!" )
( c_books_test_0055 "But remember, Bagheera, he is very little. I will remember." )
( c_books_test_0056 "George, George! she cried when she could speak; and Mr." )
( c_books_test_0057 "Only the holluschickie go to Otter Island." )
( c_books_test_0058 "I’ve no nursery to fight for, said Kotick." )
( c_books_test_0059 "To donate, please visit: www.gutenberg.org/donate Section ." )
( c_books_test_0060 "And it was so in all the other islands that he visited." )
( c_books_test_0061 "It would not tire a wounded cow." )
( c_books_test_0062 "For the Wendy, said Curly." )
( c_books_test_0063 "Then he took a great breath and crowed." )
( c_books_test_0064 "Why can’t you be sensible and settle your places quietly?" )
( c_books_test_0065 "He has missed, said Mother Wolf." )
( c_books_test_0066 "Don’t go, they called in pity." )
( c_books_test_0067 "There is no need for this dog’s jabber." )
( c_books_test_0068 "He is there." )
( c_books_test_0069 "Yes, she said, clutching them." )
( c_books_test_0070 "Rule Britannia! squeaked Curly." )
( c_books_test_0071 "He could only stare, horrified." )
( c_books_test_0072 "Little one, what is thy name? said Petersen Sahib." )
( c_books_test_0073 "Hook raised his voice, but there was a quiver in it." )
( c_books_test_0074 "Well, then, he cried, I am Peter Pan. Pan!" )
( c_books_test_0075 "Let him think and be still." )
( c_books_test_0076 "Fancy Wendy snapping!" )
( c_books_test_0077 "I know she admires you tremendously, George, Mrs." )
( c_books_test_0078 "Give me the egg, Rikki-tikki." )
( c_books_test_0079 "Not only smoke came out of it." )
( c_books_test_0080 "One could mention many lovable traits in Smee." )
( c_books_test_0081 "He would keep no girl in the Neverland against her will." )
( c_books_test_0082 "Then he unbarred the window." )
( c_books_test_0083 "It was Wendy." )
( c_books_test_0084 "Peter, you see, just said anything that came into his head." )
( c_books_test_0085 "Chuchundra is a broken-hearted little beast." )
( c_books_test_0086 "Not three figures, four!" )
( c_books_test_0087 "And his nose was all sore." )
( c_books_test_0088 "He dances like Mao the Peacock." )
( c_books_test_0089 "Quick, Tootles, quick, she screamed." )
( c_books_test_0090 "Let the jungle listen to the things I have done." )
( c_books_test_0091 "Wake up! barked Kotick, for the gulls were making a great noise." )
( c_books_test_0092 "That thou shouldst never be one of these hill buffaloes of trackers." )
( c_books_test_0093 "Always pecking at new things are the Bandar-log." )
( c_books_test_0094 "What of Cecco? demanded Noodler." )
( c_books_test_0095 "They were the most ordinary questions—What was the colour of Mother’s eyes?" )
( c_books_test_0096 "They would have killed him last night, but they needed thee also." )
( c_books_test_0097 "He was very sorry." )
( c_books_test_0098 "Which was taller, Father or Mother?" )
( c_books_test_0099 "A hot wind knocked him senseless and red fire singed his fur." )
( c_books_test_0100 "The black ants have come up to know it." )
( c_books_test_0101 "What do you mean by ‘O father’? Mr." )
( c_books_test_0102 "I thought all the fairies were dead, Mrs." )
( c_books_test_0103 "Matkah knew better than to answer back." )
( c_books_test_0104 "But John whistled." )
( c_books_test_0105 "Keep count! shouted Mowgli scornfully." )
( c_books_test_0106 "What is the use of that? thought Rikki-tikki." )
( c_books_test_0107 "Their tongues are hanging out, they are hungry to-night." )
( c_books_test_0108 "They heard Peter crow." )
( c_books_test_0109 "To be bitten by wolves, poor child!" )
( c_books_test_0110 "Darling began playing again." )
( c_books_test_0111 "She was as grown up as that." )
( c_books_test_0112 "He had thought them out, and remembered only their bad points." )
( c_books_test_0113 "In a horrid silence Mrs." )
( c_books_test_0114 "U.S. laws alone swamp our small staff." )
( c_books_test_0115 "He had forgotten the egg." )
( c_books_test_0116 "Thus perished many of the flower of the Piccaninny tribe." )
( c_books_test_0117 "COME AWAY, COME AWAY!" )
( c_books_test_0118 "This time it is because I am a wolf." )
( c_books_test_0119 "It is the kiss I gave her." )
( c_books_test_0120 "He had a happy idea." )
( c_books_test_0121 "They have no remembrance." )
( c_books_test_0122 "Karait struck out." )
( c_books_test_0123 "Wendy was now almost overhead, and they could hear her plaintive cry." )
( c_books_test_0124 "What am I to do? said Rikki-tikki-tavi." )
( c_books_test_0125 "That is a man." )
( c_books_test_0126 "John, however, had held up his hand first." )
( c_books_test_0127 "As so often before, but never again." )
( c_books_test_0128 "The rest were tars before the mast, and lived in the fo’c’sle." )
( c_books_test_0129 "She thought of showing it to Mr." )
( c_books_test_0130 "Bring master and missus home from the party!" )
( c_books_test_0131 "Fortunately she knew at once what to do." )
( c_books_test_0132 "Every morning the kennel was carried with Mr." )
( c_books_test_0133 "Hook was profoundly dejected." )
